date,product_category,region,customer,sales_amount,cost,profit,margin
2025-02-02 19:19:52.800927,Home & Garden,East,Customer_048,193.05,131.63,61.42,31.82
2025-02-02 19:19:52.800927,Home & Garden,East,Customer_001,229.33,145.6,83.74,36.51
2025-02-02 19:19:52.800927,Electronics,South,Customer_022,507.2,327.46,179.74,35.44
2025-02-02 19:19:52.800927,Food & Beverages,Central,Customer_001,90.29,58.14,32.15,35.61
2025-02-02 19:19:52.800927,Sports & Outdoors,Central,Customer_018,249.42,172.54,76.88,30.82
2025-02-02 19:19:52.800927,Food & Beverages,Central,Customer_013,93.33,63.06,30.27,32.43
2025-02-02 19:19:52.800927,Sports & Outdoors,South,Customer_010,58.52,39.91,18.61,31.8
2025-02-02 19:19:52.800927,Sports & Outdoors,South,Customer_010,148.75,93.36,55.39,37.23
2025-02-02 19:19:52.800927,Sports & Outdoors,East,Customer_016,213.02,148.24,64.79,30.41
2025-02-02 19:19:52.800927,Sports & Outdoors,South,Customer_015,272.69,170.29,102.39,37.55
2025-02-02 19:19:52.800927,Electronics,South,Customer_044,627.7,385.84,241.86,38.53
2025-02-02 19:19:52.800927,Sports & Outdoors,North,Customer_037,109.41,73.72,35.69,32.62
2025-02-02 19:19:52.800927,Clothing,East,Customer_032,172.31,119.16,53.15,30.85
2025-02-03 19:19:52.800927,Home & Garden,North,Customer_012,174.39,121.41,52.98,30.38
2025-02-03 19:19:52.800927,Food & Beverages,Central,Customer_040,117.59,75.29,42.31,35.98
2025-02-03 19:19:52.800927,Clothing,West,Customer_008,174.64,106.52,68.12,39.01
2025-02-03 19:19:52.800927,Food & Beverages,North,Customer_037,129.09,88.05,41.04,31.79
2025-02-03 19:19:52.800927,Home & Garden,West,Customer_002,288.71,194.14,94.57,32.75
2025-02-03 19:19:52.800927,Electronics,West,Customer_020,664.44,443.64,220.81,33.23
2025-02-04 19:19:52.800927,Sports & Outdoors,Central,Customer_010,80.19,51.25,28.94,36.09
2025-02-04 19:19:52.800927,Clothing,North,Customer_016,136.36,92.96,43.4,31.83
2025-02-04 19:19:52.800927,Electronics,West,Customer_012,820.59,502.23,318.36,38.8
2025-02-04 19:19:52.800927,Sports & Outdoors,East,Customer_028,204.93,139.38,65.55,31.99
2025-02-04 19:19:52.800927,Clothing,Central,Customer_020,127.39,88.5,38.9,30.53
2025-02-04 19:19:52.800927,Sports & Outdoors,South,Customer_004,156.97,95.01,61.96,39.47
2025-02-04 19:19:52.800927,Electronics,East,Customer_037,559.57,347.75,211.82,37.85
2025-02-04 19:19:52.800927,Food & Beverages,South,Customer_018,65.82,44.84,20.97,31.86
2025-02-04 19:19:52.800927,Food & Beverages,South,Customer_034,14.02,8.46,5.56,39.65
2025-02-04 19:19:52.800927,Electronics,North,Customer_032,10.0,6.21,3.79,37.88
2025-02-04 19:19:52.800927,Clothing,North,Customer_001,261.58,181.6,79.98,30.57
2025-02-05 19:19:52.800927,Electronics,South,Customer_015,279.93,175.82,104.11,37.19
2025-02-05 19:19:52.800927,Home & Garden,South,Customer_032,133.71,87.96,45.75,34.22
2025-02-05 19:19:52.800927,Clothing,North,Customer_028,150.77,99.29,51.48,34.14
2025-02-05 19:19:52.800927,Clothing,North,Customer_005,146.8,95.87,50.93,34.69
2025-02-05 19:19:52.800927,Clothing,East,Customer_011,163.54,113.99,49.54,30.3
2025-02-05 19:19:52.800927,Food & Beverages,South,Customer_049,10.0,6.43,3.57,35.75
2025-02-05 19:19:52.800927,Sports & Outdoors,South,Customer_018,192.63,120.39,72.25,37.5
2025-02-05 19:19:52.800927,Electronics,South,Customer_033,676.63,414.43,262.2,38.75
2025-02-05 19:19:52.800927,Sports & Outdoors,South,Customer_037,90.36,55.84,34.51,38.2
2025-02-05 19:19:52.800927,Sports & Outdoors,North,Customer_001,215.82,147.48,68.35,31.67
2025-02-05 19:19:52.800927,Clothing,West,Customer_009,153.64,99.73,53.9,35.09
2025-02-06 19:19:52.800927,Sports & Outdoors,East,Customer_023,223.55,142.07,81.48,36.45
2025-02-06 19:19:52.800927,Clothing,South,Customer_028,206.49,141.29,65.2,31.57
2025-02-06 19:19:52.800927,Sports & Outdoors,West,Customer_023,165.53,113.88,51.65,31.2
2025-02-06 19:19:52.800927,Home & Garden,Central,Customer_007,296.78,195.24,101.54,34.21
2025-02-06 19:19:52.800927,Sports & Outdoors,West,Customer_022,166.29,115.8,50.49,30.36
2025-02-06 19:19:52.800927,Clothing,North,Customer_002,272.45,171.39,101.06,37.09
2025-02-06 19:19:52.800927,Clothing,West,Customer_042,168.43,107.96,60.47,35.9
2025-02-06 19:19:52.800927,Clothing,North,Customer_038,140.44,91.27,49.17,35.01
2025-02-06 19:19:52.800927,Home & Garden,Central,Customer_044,176.72,111.36,65.36,36.98
2025-02-06 19:19:52.800927,Clothing,East,Customer_007,163.81,109.99,53.82,32.86
2025-02-06 19:19:52.800927,Sports & Outdoors,North,Customer_003,191.61,123.22,68.38,35.69
2025-02-06 19:19:52.800927,Home & Garden,South,Customer_048,267.91,184.54,83.37,31.12
2025-02-07 19:19:52.800927,Sports & Outdoors,West,Customer_045,141.37,98.4,42.97,30.39
2025-02-07 19:19:52.800927,Clothing,Central,Customer_028,93.11,59.63,33.49,35.96
2025-02-07 19:19:52.800927,Electronics,Central,Customer_016,671.35,418.08,253.26,37.72
2025-02-07 19:19:52.800927,Food & Beverages,North,Customer_032,83.07,54.59,28.48,34.28
2025-02-07 19:19:52.800927,Sports & Outdoors,East,Customer_036,197.71,134.31,63.41,32.07
2025-02-07 19:19:52.800927,Food & Beverages,South,Customer_012,26.33,16.12,10.22,38.79
2025-02-07 19:19:52.800927,Home & Garden,South,Customer_048,169.03,103.32,65.71,38.88
2025-02-07 19:19:52.800927,Home & Garden,Central,Customer_002,260.09,162.71,97.38,37.44
2025-02-07 19:19:52.800927,Food & Beverages,West,Customer_043,94.16,62.18,31.98,33.96
2025-02-07 19:19:52.800927,Electronics,North,Customer_013,945.19,623.22,321.97,34.06
2025-02-07 19:19:52.800927,Clothing,South,Customer_034,188.52,117.67,70.85,37.58
2025-02-07 19:19:52.800927,Clothing,South,Customer_025,196.69,125.87,70.83,36.01
2025-02-07 19:19:52.800927,Electronics,West,Customer_038,388.26,252.07,136.19,35.08
2025-02-08 19:19:52.800927,Food & Beverages,West,Customer_050,12.13,7.87,4.26,35.11
2025-02-08 19:19:52.800927,Home & Garden,East,Customer_012,134.38,82.42,51.97,38.67
2025-02-08 19:19:52.800927,Food & Beverages,Central,Customer_024,28.61,20.01,8.6,30.07
2025-02-08 19:19:52.800927,Clothing,North,Customer_038,100.76,70.12,30.65,30.41
2025-02-08 19:19:52.800927,Clothing,West,Customer_002,235.4,147.08,88.33,37.52
2025-02-08 19:19:52.800927,Food & Beverages,Central,Customer_017,109.62,69.11,40.51,36.96
2025-02-08 19:19:52.800927,Clothing,Central,Customer_016,24.61,17.1,7.5,30.49
2025-02-08 19:19:52.800927,Sports & Outdoors,West,Customer_012,152.24,100.06,52.18,34.28
2025-02-08 19:19:52.800927,Electronics,East,Customer_011,429.6,262.32,167.29,38.94
2025-02-08 19:19:52.800927,Clothing,North,Customer_023,70.69,48.41,22.28,31.52
2025-02-08 19:19:52.800927,Food & Beverages,Central,Customer_010,139.84,88.65,51.2,36.61
2025-02-09 19:19:52.800927,Electronics,East,Customer_004,895.62,624.13,271.49,30.31
2025-02-09 19:19:52.800927,Sports & Outdoors,South,Customer_005,315.73,195.84,119.89,37.97
2025-02-09 19:19:52.800927,Sports & Outdoors,East,Customer_033,97.48,64.12,33.35,34.22
2025-02-09 19:19:52.800927,Sports & Outdoors,Central,Customer_047,47.14,30.32,16.82,35.68
2025-02-09 19:19:52.800927,Electronics,North,Customer_028,67.91,46.36,21.55,31.73
2025-02-09 19:19:52.800927,Food & Beverages,North,Customer_040,121.36,83.36,38.0,31.31
2025-02-09 19:19:52.800927,Sports & Outdoors,West,Customer_015,173.11,109.91,63.21,36.51
2025-02-09 19:19:52.800927,Sports & Outdoors,South,Customer_048,237.17,160.43,76.74,32.36
2025-02-09 19:19:52.800927,Food & Beverages,East,Customer_007,138.54,95.02,43.51,31.41
2025-02-09 19:19:52.800927,Home & Garden,Central,Customer_046,372.69,232.95,139.73,37.49
2025-02-09 19:19:52.800927,Electronics,South,Customer_046,563.04,352.59,210.44,37.38
2025-02-09 19:19:52.800927,Food & Beverages,North,Customer_042,10.0,6.78,3.22,32.17
2025-02-09 19:19:52.800927,Home & Garden,South,Customer_021,329.79,211.57,118.22,35.85
2025-02-10 19:19:52.800927,Clothing,North,Customer_039,160.05,101.02,59.04,36.89
2025-02-10 19:19:52.800927,Food & Beverages,West,Customer_049,127.77,78.88,48.89,38.26
2025-02-10 19:19:52.800927,Clothing,North,Customer_002,216.11,135.0,81.11,37.53
2025-02-10 19:19:52.800927,Electronics,West,Customer_008,757.75,513.09,244.66,32.29
2025-02-10 19:19:52.800927,Food & Beverages,South,Customer_002,91.9,63.79,28.11,30.59
2025-02-10 19:19:52.800927,Clothing,South,Customer_044,180.34,123.84,56.5,31.33
